profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,fake
1,0,2,0,0,0,0,0,218,21,302,1
1,0,4,0,0,158,0,0,14120,1948,845,1
1,0.533333333,2,0,0,83,0,0,820,82,629,1
1,0,1,0,0,65,0,0,167348,5899,5170,1
1,0.076923077,2,0,0,0,0,0,0,0,48,1
1,0,2,0,0,0,0,1,0,13,823,1
1,0.066666667,2,0,0,0,0,0,12,6,52,1
1,0,2,0,0,50,0,0,727,170,3002,1
1,0.333333333,2,0,0,65,0,0,515,97,123,1
1,0.076923077,2,0,0,0,0,0,0,0,47,1
1,0,2,0,0,156,1,0,5244,74,416,1
1,0,1,0,0,0,0,0,390,25,291,1
1,0.090909091,2,0,0,109,0,0,716,771,798,1
1,0,1,0,1,156,0,0,13076,106,1,1
1,0,1,0,0,49,0,0,466,101,121,1
1,0,2,0,0,44,0,0,201,382,353,1
1,0,3,0,0,120,1,0,229,1009,49,1
1,0.533333333,2,0,0,72,0,0,2718,76,88,1
1,0,3,0,0,0,0,0,1258,159,1070,1
1,0,2,0,0,0,0,0,10,15,2,1
1,0,1,0,0,92,1,0,11170,16640,18968,1
1,0.533333333,2,0,0,0,0,0,320,0,8,1
1,0,3,0,0,54,0,0,618,183,0,1
1,0.1,1,0,0,6,0,0,11,5,58,1
1,0,1,0,1,162,0,0,3014,579,485,1
1,0,2,0,0,28,0,0,10959,4750,184,1
1,0.142857143,2,0,0,0,0,0,224,7,59,1
1,0.307692308,1,0,0,0,0,0,37,14,634,1
1,0,2,0,0,0,0,0,17,126,262,1
1,0,1,0,0,94,0,0,13,102,353,1
1,0.571428571,2,0,0,0,0,0,1288,120,127,1
1,0,2,0,0,35,0,0,21267,309,684,1
1,0.25,4,0,0,0,0,0,15,0,20,1
1,0,2,0,0,153,1,0,653,1086,4962,1
1,0,2,0,0,0,0,0,987,22,282,1
1,0.533333333,2,0,0,0,0,0,2,0,8,1
1,0,1,0,0,62,0,1,32900,123,608,1
1,0,1,0,0,38,0,0,1125,716,683,1
1,0.125,2,0,0,157,0,0,1341,98,69,1
1,0.533333333,2,0,0,0,0,0,0,26,278,1
1,0,1,0,0,97,0,0,99257,261763,404,1
1,0.066666667,1,0,0,0,0,0,13,8,236,1
1,0,2,0,0,145,0,0,2463,465,134,1
